"","participant","list","gender","age","itemNr","ID","expression","response"
"106","3","AB","f","35-",26,"haimete2","haimete",5
"107","3","AB","f","35-",27,"hecha1","hecha",3
"108","3","AB","f","35-",28,"mombeu2","mombeu",5
"109","3","AB","f","35-",29,"topa1","topa",3
"110","3","AB","f","35-",30,"controlB2","control",3
"111","3","AB","f","35-",31,"hechauka2","hechauka",5
"112","3","AB","f","35-",32,"kuaa1","kuaa",5
"113","3","AB","f","35-",33,"cos2","cos",5
"114","3","AB","f","35-",34,"hendu1","hendu",5
"115","3","AB","f","35-",35,"nte2","nte",3
"116","3","AB","f","35-",36,"juhu1","juhu",4
"117","3","AB","f","35-",37,"hechakuaa2","hechakuaa",4
"118","3","AB","f","35-",38,"hei1","hei",5
"119","3","AB","f","35-",39,"NRRC2","NRRC",5
"120","3","AB","f","35-",40,"controlB3","control",3
"121","4","BA","f","35+",1,"controlA1","control",3
"123","4","BA","f","35+",3,"moa2","moa",1
"124","4","BA","f","35+",4,"possNP1","possNP",5
"125","4","BA","f","35+",5,"kuaauka2","kuaauka",5
"126","4","BA","f","35+",6,"haimete1","haimete",1
"127","4","BA","f","35+",7,"hecha2","hecha",4
"128","4","BA","f","35+",8,"mombeu1","mombeu",5
"129","4","BA","f","35+",9,"topa2","topa",5
"130","4","BA","f","35+",10,"controlA2","control",1
"131","4","BA","f","35+",11,"hechauka1","hechauka",4
"132","4","BA","f","35+",12,"kuaa2","kuaa",5
"133","4","BA","f","35+",13,"cos1","cos",4
"134","4","BA","f","35+",14,"hendu2","hendu",5
"135","4","BA","f","35+",15,"nte1","nte",3
"136","4","BA","f","35+",16,"juhu2","juhu",4
"137","4","BA","f","35+",17,"hechakuaa1","hechakuaa",3
"138","4","BA","f","35+",18,"hei2","hei",2
"139","4","BA","f","35+",19,"NRRC1","NRRC",5
"140","4","BA","f","35+",20,"controlA3","control",3
"143","4","BA","f","35+",23,"moa1","moa",2
"144","4","BA","f","35+",24,"possNP2","possNP",5
"145","4","BA","f","35+",25,"kuaauka1","kuaauka",5
"146","4","BA","f","35+",26,"haimete2","haimete",5
"147","4","BA","f","35+",27,"hecha1","hecha",3
"148","4","BA","f","35+",28,"mombeu2","mombeu",5
"149","4","BA","f","35+",29,"topa1","topa",4
"150","4","BA","f","35+",30,"controlB2","control",3
"151","4","BA","f","35+",31,"hechauka2","hechauka",5
"152","4","BA","f","35+",32,"kuaa1","kuaa",1
"153","4","BA","f","35+",33,"cos2","cos",5
"154","4","BA","f","35+",34,"hendu1","hendu",5
"155","4","BA","f","35+",35,"nte2","nte",5
"156","4","BA","f","35+",36,"juhu1","juhu",1
"157","4","BA","f","35+",37,"hechakuaa2","hechakuaa",1
"158","4","BA","f","35+",38,"hei1","hei",1
"159","4","BA","f","35+",39,"NRRC2","NRRC",4
"160","4","BA","f","35+",40,"controlB3","control",1
"161","5","AB","f","35-",1,"controlA1","control",1
"162","5","AB","f","35-",2,"vya1","vya",1
"163","5","AB","f","35-",3,"moa2","moa",3
"164","5","AB","f","35-",4,"possNP1","possNP",5
"165","5","AB","f","35-",5,"kuaauka2","kuaauka",1
"166","5","AB","f","35-",6,"haimete1","haimete",5
"167","5","AB","f","35-",7,"hecha2","hecha",5
"168","5","AB","f","35-",8,"mombeu1","mombeu",1
"169","5","AB","f","35-",9,"topa2","topa",5
"170","5","AB","f","35-",10,"controlA2","control",1
"171","5","AB","f","35-",11,"hechauka1","hechauka",5
"172","5","AB","f","35-",12,"kuaa2","kuaa",3
"173","5","AB","f","35-",13,"cos1","cos",1
"174","5","AB","f","35-",14,"hendu2","hendu",3
"175","5","AB","f","35-",15,"nte1","nte",1
"176","5","AB","f","35-",16,"juhu2","juhu",1
"177","5","AB","f","35-",17,"hechakuaa1","hechakuaa",5
"178","5","AB","f","35-",18,"hei2","hei",1
"179","5","AB","f","35-",19,"NRRC1","NRRC",3
"180","5","AB","f","35-",20,"controlA3","control",1
"181","5","AB","f","35-",21,"controlB1","control",1
"183","5","AB","f","35-",23,"moa1","moa",1
"184","5","AB","f","35-",24,"possNP2","possNP",3
"185","5","AB","f","35-",25,"kuaauka1","kuaauka",1
"186","5","AB","f","35-",26,"haimete2","haimete",5
"187","5","AB","f","35-",27,"hecha1","hecha",1
"188","5","AB","f","35-",28,"mombeu2","mombeu",3
"189","5","AB","f","35-",29,"topa1","topa",5
"190","5","AB","f","35-",30,"controlB2","control",1
"191","5","AB","f","35-",31,"hechauka2","hechauka",3
"192","5","AB","f","35-",32,"kuaa1","kuaa",5
"193","5","AB","f","35-",33,"cos2","cos",1
"194","5","AB","f","35-",34,"hendu1","hendu",1
"195","5","AB","f","35-",35,"nte2","nte",3
"196","5","AB","f","35-",36,"juhu1","juhu",5
"197","5","AB","f","35-",37,"hechakuaa2","hechakuaa",3
"198","5","AB","f","35-",38,"hei1","hei",1
"199","5","AB","f","35-",39,"NRRC2","NRRC",5
"200","5","AB","f","35-",40,"controlB3","control",3
"201","6","BA","f","35-",1,"controlA1","control",5
"202","6","BA","f","35-",2,"vya1","vya",5
"203","6","BA","f","35-",3,"moa2","moa",5
"204","6","BA","f","35-",4,"possNP1","possNP",5
"205","6","BA","f","35-",5,"kuaauka2","kuaauka",5
"206","6","BA","f","35-",6,"haimete1","haimete",5
"207","6","BA","f","35-",7,"hecha2","hecha",5
"208","6","BA","f","35-",8,"mombeu1","mombeu",5
"209","6","BA","f","35-",9,"topa2","topa",5
"210","6","BA","f","35-",10,"controlA2","control",4
